"","day","actual"
"1",2020-06-26,245869.402857143
"2",2020-06-27,62909.6228571428
"3",2020-06-28,16577.8228571429
"4",2020-06-29,384434.022857143
"5",2020-06-30,516581.822857143
"6",2020-07-01,578985.422857143
"7",2020-07-02,494765.382857143
"8",2020-07-03,1340231.82285714
"9",2020-07-04,200755.142857143
"10",2020-07-05,1192.14285714286
"11",2020-07-06,1085716.32285714
"12",2020-07-07,708451.302857142
"13",2020-07-08,755631.742857143
"14",2020-07-09,722710.222857142
"15",2020-07-10,2910472.86285714
"16",2020-07-11,176647.782857143
"17",2020-07-12,5132.06285714286
"18",2020-07-13,1258423.06285714
"19",2020-07-14,604055.662857143
"20",2020-07-15,1450578.48285714
"21",2020-07-16,770210.262857143
"22",2020-07-17,3187690.84285714
"23",2020-07-18,204593.062857143
"24",2020-07-19,5716.86285714286
"25",2020-07-20,1562478.60285714
"26",2020-07-21,701282.742857143
"27",2020-07-22,784430.762857142
"28",2020-07-23,700597.982857143
"29",2020-07-24,3792202.00285714
"30",2020-07-25,168479.962857143
"31",2020-07-26,3441.24285714286
"32",2020-07-27,1976082.48285714
"33",2020-07-28,1160924.32285714
"34",2020-07-29,906085.482857143
"35",2020-07-30,1391355.58285714
"36",2020-07-31,5336692.46285714
"37",2020-08-01,171972.782857143
"38",2020-08-02,21038.6228571429
"39",2020-08-03,3790035.52285714
"40",2020-08-04,1360310.18285714
"41",2020-08-05,1421783.54285714
"42",2020-08-06,1814313.88285714
"43",2020-08-07,6506854.48285715
"44",2020-08-08,245861.582857143
"45",2020-08-09,29517.8828571429
"46",2020-08-10,3065823.62285714
"47",2020-08-11,970579.402857143
"48",2020-08-12,1242857.86285714
"49",2020-08-13,1444658.40285714
"50",2020-08-14,7066714.12285714
"51",2020-08-15,292406.222857143
"52",2020-08-16,5382.64285714286
"53",2020-08-17,4899672.78285714
"54",2020-08-18,1006026.10285714
"55",2020-08-19,1394471.34285714
"56",2020-08-20,2312830.04285714
"57",2020-08-21,7519788.94285714
"58",2020-08-22,413443.162857143
