"","product","week","day","dow","forecast","low_forecast","high_forecast"
"1","rto","2023-06-19","2023-06-25","Sunday",228312.142857143,137872.142857143,316882.142857143
"2","rto","2023-06-19","2023-06-24","Saturday",1882446.14285714,1461152.14285714,2303740.14285714
"3","rto","2023-06-19","2023-06-23","Friday",11312040.1428571,10080152.1428571,12543928.1428571
"4","rto","2023-06-19","2023-06-22","Thursday",4773806.14285714,3613284.14285714,5956564.14285714
"5","rto","2023-06-19","2023-06-21","Wednesday",5530136.14285714,4548250.14285714,6512022.14285714
"6","rto","2023-06-19","2023-06-20","Tuesday",4696422.14285714,3668738.14285714,5712512.14285714
"7","rto","2023-06-19","2023-06-19","Monday",3830816.14285714,2933284.14285714,4728348.14285714
"8","rto","2023-06-12","2023-06-18","Sunday",193360.142857143,105504.142857143,280196.142857143
"9","rto","2023-06-12","2023-06-17","Saturday",2036092.14285714,1625576.14285714,2487782.14285714
"10","rto","2023-06-12","2023-06-16","Friday",11333154.1428571,10073726.1428571,12592582.1428571
"11","rto","2023-06-12","2023-06-15","Thursday",6169506.14285714,4903584.14285714,7344716.14285714
"12","rto","2023-06-12","2023-06-14","Wednesday",5666510.14285714,4660722.14285714,6672298.14285714
"13","rto","2023-06-12","2023-06-13","Tuesday",4953394.14285714,3945974.14285714,5927052.14285714
"14","rto","2023-06-12","2023-06-12","Monday",5930724.14285714,5015954.14285714,6845494.14285714
"15","rto","2023-06-05","2023-06-11","Sunday",206042.142857143,114208.142857143,299984.142857143
"16","rto","2023-06-05","2023-06-10","Saturday",1989036.14285714,1571550.14285714,2405230.14285714
"17","rto","2023-06-05","2023-06-09","Friday",11785116.1428571,10562544.1428571,13007688.1428571
"18","rto","2023-06-05","2023-06-08","Thursday",5630130.14285714,4143616.14285714,7116644.14285714
"19","rto","2023-06-05","2023-06-07","Wednesday",4923712.14285714,3883958.14285714,5935008.14285714
"20","rto","2023-06-05","2023-06-06","Tuesday",4780198.14285714,3777776.14285714,5752564.14285714
"21","rto","2023-06-05","2023-06-05","Monday",4818890.14285714,3281138.14285714,6447966.14285714
"22","rto","2023-05-29","2023-06-04","Sunday",212876.142857143,127230.142857143,294986.142857143
"23","rto","2023-05-29","2023-06-03","Saturday",2079816.14285714,1663078.14285714,2502572.14285714
"24","rto","2023-05-29","2023-06-02","Friday",10734788.1428571,9555124.14285714,11973918.1428571
